p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,10.5285863278748,0.344,0,0,cluster_16,LCN6
0,10.2435928033908,0.7,0.005,0,cluster_16,DNTT
0,7.89743168934009,0.288,0.001,0,cluster_16,CYGB
0,7.58945166518432,0.938,0.007,0,cluster_16,VPREB1
0,7.46499577839267,0.954,0.022,0,cluster_16,IGLL1
0,7.43793047278566,0.467,0.003,0,cluster_16,AKAP12
0,6.73110631467756,0.44,0.003,0,cluster_16,ARPP21
0,6.27471546190636,0.576,0.024,0,cluster_16,UHRF1
0,5.90368102250801,0.48,0.004,0,cluster_16,MME
0,5.34505397844353,0.675,0.032,0,cluster_16,CD9
0,5.27890753430448,0.397,0.028,0,cluster_16,NUSAP1
0,5.26884785589067,0.3,0.016,0,cluster_16,AURKB
0,5.13369229908011,0.406,0.025,0,cluster_16,MKI67
0,5.09234540261668,0.895,0.061,0,cluster_16,VPREB3
0,4.93212574185088,0.267,0.016,0,cluster_16,MND1
0,4.87096917326666,0.342,0.024,0,cluster_16,TOP2A
0,4.82273513969607,0.267,0.007,0,cluster_16,FAM111B
0,4.80381550343513,0.284,0.017,0,cluster_16,ASF1B
0,4.78154017566453,0.257,0.016,0,cluster_16,CDCA5
0,4.74952313532788,0.532,0.041,0,cluster_16,TYMS
0,4.58196387047104,0.326,0.024,0,cluster_16,UBE2C
0,4.56786477516426,0.825,0.16,0,cluster_16,STMN1
0,4.56444541564266,0.454,0.023,0,cluster_16,CMTM8
0,4.54981432985001,0.348,0.024,0,cluster_16,RRM2
0,4.45143269598162,0.352,0.029,0,cluster_16,CENPF
0,4.39130966951298,0.434,0.046,0,cluster_16,SOCS2
0,4.35014154497228,0.652,0.039,0,cluster_16,CD24
0,4.3350974050254,0.41,0.031,0,cluster_16,MYB
0,4.23656748263152,0.297,0.026,0,cluster_16,EGFL7
0,4.22762517236019,0.266,0.022,0,cluster_16,TPX2
0,4.18198854864923,0.543,0.024,0,cluster_16,EBF1
0,4.15123755979385,0.317,0.024,0,cluster_16,RAD51AP1
0,4.1123356854911,0.319,0.027,0,cluster_16,GINS2
0,4.07171315060693,0.406,0.033,0,cluster_16,ZWINT
0,4.04050154643561,0.275,0.026,0,cluster_16,CCNB2
0,4.01734393174854,0.342,0.031,0,cluster_16,SMIM3
0,3.93753209023797,0.335,0.029,0,cluster_16,TK1
0,3.78205912588773,0.52,0.106,0,cluster_16,H4C3
0,3.76722639153977,0.45,0.051,0,cluster_16,PTTG1
0,3.75618769994748,0.267,0.023,0,cluster_16,CDKN3
0,3.74436911273194,0.538,0.076,0,cluster_16,PCNA
0,3.73616762890198,0.691,0.3,0,cluster_16,TUBA1B
0,3.7334392306103,0.264,0.022,0,cluster_16,CDK1
0,3.71422277963229,0.586,0.084,0,cluster_16,PCLAF
0,3.6771404519447,0.406,0.042,0,cluster_16,CENPU
0,3.64094268535052,0.606,0.058,0,cluster_16,SSBP2
0,3.58822397012644,0.687,0.065,0,cluster_16,TCF4
0,3.54095808473352,0.714,0.068,0,cluster_16,LAT2
0,3.46409219697379,0.402,0.037,0,cluster_16,NREP
0,3.45851942578624,0.795,0.058,0,cluster_16,MZB1
0,3.44904292939124,0.385,0.031,0,cluster_16,PHGDH
0,3.44884731932583,0.379,0.038,0,cluster_16,CDCA7
0,3.44504662848419,0.267,0.028,0,cluster_16,UBE2T
0,3.3857200249724,0.356,0.034,0,cluster_16,HELLS
0,3.38402106356798,0.934,0.138,0,cluster_16,CD79B
0,3.36671397253382,0.449,0.053,0,cluster_16,MAD2L1
0,3.35891624970238,0.406,0.042,0,cluster_16,CENPW
0,3.34502299840655,0.427,0.053,0,cluster_16,HMGB3
0,3.32573902894778,0.594,0.075,0,cluster_16,TOP2B
0,3.32275098635427,0.308,0.034,0,cluster_16,CCDC34
0,3.28720836837619,0.399,0.045,0,cluster_16,SMC2
0,3.28172229961332,0.29,0.028,0,cluster_16,SAC3D1
0,3.27168464072867,0.326,0.036,0,cluster_16,CENPM
