p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.24378731361151,0.458,0.006,0,cluster_6,MT1HL1
0,6.08318138079194,0.422,0.006,0,cluster_6,ZFYVE28
0,5.94479004305744,0.417,0.01,0,cluster_6,DBR1
0,5.72567874437271,0.8,0.073,0,cluster_6,FRMPD2
0,5.72055083083979,0.285,0.004,0,cluster_6,BPIFB3
0,5.71643289683799,0.368,0.008,0,cluster_6,PROSER3
0,5.70347746384965,0.967,0.171,0,cluster_6,GADD45G
0,5.45267757264127,0.612,0.024,0,cluster_6,FKBP9
0,5.40816907472056,0.89,0.052,0,cluster_6,MARCO
0,5.30882775038721,0.606,0.039,0,cluster_6,STPG3-AS1
0,5.29488442358637,0.272,0.013,0,cluster_6,KHDRBS1
0,5.24514886383539,0.814,0.038,0,cluster_6,MSR1
0,5.19146839137677,0.951,0.117,0,cluster_6,C1QA
0,5.15469533404971,0.602,0.023,0,cluster_6,FCAR
0,5.02987405227828,0.375,0.008,0,cluster_6,FAM72A
0,5.01386019977065,0.901,0.081,0,cluster_6,TOMM40
0,4.94469148261475,0.962,0.116,0,cluster_6,NDNF
0,4.84857754494699,0.831,0.049,0,cluster_6,AP2A2
0,4.79571245831355,0.339,0.009,0,cluster_6,IQSEC1
0,4.75953996404872,0.92,0.072,0,cluster_6,KCNE2
0,4.73093709980977,0.89,0.058,0,cluster_6,PDIA4
0,4.71936388478678,0.957,0.138,0,cluster_6,ACP5
0,4.57682050161185,0.678,0.044,0,cluster_6,NUP210
0,4.39046525448547,0.521,0.03,0,cluster_6,TREM2
0,4.35209681913327,0.803,0.056,0,cluster_6,MEA1
0,4.33757605168279,0.802,0.075,0,cluster_6,EIF4E2
0,4.30041100004278,0.9,0.055,0,cluster_6,LINC02176
0,4.23850855919043,0.862,0.069,0,cluster_6,SNX10
0,4.18772961907325,0.945,0.083,0,cluster_6,MS4A14
0,4.12931810700767,0.965,0.152,0,cluster_6,TXNDC17
0,4.09137771879125,0.909,0.202,0,cluster_6,PGAP4
0,3.98288426068068,0.758,0.048,0,cluster_6,MS4A4A
0,3.90529086219372,0.694,0.067,0,cluster_6,RFESD
0,3.8888610684314,0.642,0.031,0,cluster_6,THAP12
0,3.86925157808131,0.835,0.056,0,cluster_6,GLIPR1L1
0,3.86359218741326,0.484,0.021,0,cluster_6,U2SURP
0,3.83972220416245,0.477,0.024,0,cluster_6,PAQR8
0,3.77880766482111,0.44,0.023,0,cluster_6,SMIM15-AS1
0,3.77489823175111,0.862,0.104,0,cluster_6,RAPGEF5
0,3.75433501148284,0.431,0.021,0,cluster_6,ZPBP2
0,3.7504160451853,0.944,0.154,0,cluster_6,WASF3
0,3.74420520069263,0.481,0.024,0,cluster_6,TFEC
0,3.71247445658869,0.752,0.058,0,cluster_6,ALOX5
0,3.65490507220563,0.519,0.037,0,cluster_6,MCL1
0,3.64307928170001,0.72,0.066,0,cluster_6,TTYH1
0,3.57743745744346,0.272,0.017,0,cluster_6,ADTRP
0,3.57190845114216,0.771,0.053,0,cluster_6,ADM5
0,3.54797470156221,0.753,0.062,0,cluster_6,LARP1
0,3.53320126080371,0.508,0.043,0,cluster_6,KCNIP1
0,3.52404181129063,0.3,0.016,0,cluster_6,SLC45A3
0,3.52376220304169,0.435,0.024,0,cluster_6,FPR1
0,3.51965365026495,0.887,0.087,0,cluster_6,SLC11A1
0,3.41413826619424,0.508,0.031,0,cluster_6,ARID5B
0,3.38885294237206,0.574,0.041,0,cluster_6,RETN
0,3.38470151355679,0.892,0.288,0,cluster_6,BCAR3
0,3.38054806795404,0.844,0.071,0,cluster_6,C18orf32
0,3.35016746230486,0.527,0.038,0,cluster_6,PFDN5
0,3.31952808266123,0.593,0.044,0,cluster_6,PILRA
0,3.28205419646105,0.883,0.094,0,cluster_6,SPI1
0,3.26418988709837,0.322,0.018,0,cluster_6,ABCD4
0,3.24733575606689,0.569,0.071,0,cluster_6,FAM86B2
0,3.24690698926965,0.295,0.016,0,cluster_6,ZNF684
0,3.24369317107883,0.703,0.064,0,cluster_6,ARHGAP17
0,3.2407665943214,0.285,0.015,0,cluster_6,SIRPB1
0,3.14965802971219,0.305,0.022,0,cluster_6,H1-6
0,3.13952193332911,0.762,0.085,0,cluster_6,PDC
0,3.13732376021276,0.339,0.024,0,cluster_6,COL5A1
0,3.11535334935984,0.329,0.031,0,cluster_6,MTMR11
0,3.09119793539922,0.414,0.044,0,cluster_6,ROBO4
0,3.06963171584166,0.996,0.209,0,cluster_6,TYROBP
0,3.0646883258421,0.311,0.029,0,cluster_6,SLC1A3
0,3.00378739621174,0.777,0.115,0,cluster_6,ACMSD
0,3.00221332626791,0.729,0.091,0,cluster_6,PSMA8
0,2.98226389346016,0.611,0.088,0,cluster_6,STAT1
0,2.9578620290243,0.287,0.025,0,cluster_6,BATF
0,2.95745841641143,0.271,0.022,0,cluster_6,G0S2
0,2.95405257151193,0.996,0.57,0,cluster_6,TSBP1
0,2.95313552235921,0.418,0.041,0,cluster_6,SCAF11
0,2.94823293383947,0.931,0.307,0,cluster_6,GATA2
0,2.94602268009299,0.65,0.081,0,cluster_6,SLC31A1
0,2.94534684712748,0.722,0.074,0,cluster_6,NUF2
0,2.93645620149506,0.897,0.121,0,cluster_6,CD53
0,2.91814533360433,0.995,0.625,0,cluster_6,COLEC11
0,2.87614086125585,0.985,0.187,0,cluster_6,APOA2
0,2.87245225934062,0.567,0.05,0,cluster_6,PRSS16
0,2.86865707181841,0.837,0.162,0,cluster_6,COL27A1
0,2.84916792054068,0.761,0.094,0,cluster_6,TMEM210
0,2.84893682835445,0.735,0.183,0,cluster_6,TFRC
0,2.84102696230739,0.953,0.464,0,cluster_6,GRN
0,2.83507397553038,0.705,0.107,0,cluster_6,ACADL
0,2.81985284826236,0.535,0.083,0,cluster_6,SSPN
0,2.79008614808851,0.395,0.032,0,cluster_6,HRK
0,2.78795557090105,0.451,0.067,0,cluster_6,LINC01856
0,2.7809206377643,0.922,0.326,0,cluster_6,CAPG
0,2.77310826995801,0.477,0.037,0,cluster_6,BPGM
0,2.76855162419505,0.52,0.06,0,cluster_6,SLC15A3
0,2.7490851634359,0.481,0.068,0,cluster_6,OPN3
0,2.7477903429727,0.479,0.043,0,cluster_6,MRM3
0,2.74753531754537,0.852,0.251,0,cluster_6,CTSZ
0,2.745918578526,0.607,0.101,0,cluster_6,PNPLA6
0,9.22511756899339,0.301,0.001,0,cluster_4,SLC19A1
0,8.8349525107407,0.375,0.002,0,cluster_4,TP53I11
0,8.75506615358304,0.466,0.004,0,cluster_4,COL4A1
0,8.62348685426594,0.374,0.001,0,cluster_4,BTG2-DT
0,8.50303556758399,0.552,0.005,0,cluster_4,ARHGAP15-AS1
0,8.47090370273793,0.502,0.003,0,cluster_4,PDE10A
0,8.46437302116671,0.618,0.006,0,cluster_4,NYX
0,8.41204579851194,0.692,0.007,0,cluster_4,YIF1A
0,8.4035382471669,0.513,0.003,0,cluster_4,GSTA1
0,8.37421824926578,0.407,0.002,0,cluster_4,PLAGL1
0,8.33219328122508,0.582,0.004,0,cluster_4,DEPTOR
0,8.32418667416231,0.495,0.004,0,cluster_4,HSP90B1
0,8.31968822772249,0.434,0.003,0,cluster_4,TMPRSS7
0,8.30964813719524,0.267,0.001,0,cluster_4,RBM26-AS1
0,8.27084148261133,0.835,0.022,0,cluster_4,EFCAB6
0,8.25031303659484,0.386,0.003,0,cluster_4,TLCD4
0,8.22260111760703,0.256,0.002,0,cluster_4,ACE
0,8.19391440764794,0.445,0.003,0,cluster_4,DCAF10
0,8.18742770228973,0.604,0.005,0,cluster_4,NHLRC4
0,8.17325548046222,0.409,0.004,0,cluster_4,HNF4G
0,8.12724219069108,0.348,0.002,0,cluster_4,DNAAF6
0,8.10680892014525,0.781,0.018,0,cluster_4,ZNF154
0,8.09426032230565,0.465,0.003,0,cluster_4,LMNB2
0,8.07808576632388,0.321,0.002,0,cluster_4,CLEC18C
0,8.04858375703553,0.519,0.004,0,cluster_4,CCDC141
0,8.02940383845204,0.644,0.006,0,cluster_4,SPAG6
0,8.02213075998329,0.671,0.009,0,cluster_4,TOR2A
0,8.02130721011572,0.325,0.002,0,cluster_4,LINC01672
0,7.99753189951336,0.379,0.003,0,cluster_4,ACSL3
0,7.9814629427054,0.852,0.028,0,cluster_4,BCAS4
0,7.95334944528703,0.507,0.004,0,cluster_4,BASP1-AS1
0,7.92104848091792,0.686,0.009,0,cluster_4,RMI1
0,7.91750124600459,0.515,0.004,0,cluster_4,C5orf47
0,7.91515116281633,0.754,0.019,0,cluster_4,ZNF530
0,7.91505544965807,0.375,0.003,0,cluster_4,PRDM10
0,7.90911533867311,0.494,0.005,0,cluster_4,FOXL2NB
0,7.9031086881669,0.373,0.003,0,cluster_4,EPPIN
0,7.89949712650388,0.428,0.003,0,cluster_4,LINC01778
0,7.88171247179233,0.458,0.003,0,cluster_4,MPI
0,7.88103032458429,0.413,0.003,0,cluster_4,LINC00564
0,7.88050481775566,0.427,0.003,0,cluster_4,UQCC6
0,7.85191292925927,0.465,0.005,0,cluster_4,ST8SIA6-AS1
0,7.84002277087585,0.413,0.002,0,cluster_4,AFAP1L2
0,7.82455554101966,0.76,0.014,0,cluster_4,ZDHHC11
0,7.82350892929884,0.491,0.005,0,cluster_4,PECR
0,7.8192790505839,0.395,0.003,0,cluster_4,PSCA
0,7.81304208094975,0.312,0.001,0,cluster_4,CYBB
0,7.8105529217733,0.41,0.002,0,cluster_4,NDUFV2
0,7.80399023278306,0.72,0.028,0,cluster_4,NLRP4
0,7.78390001699245,0.368,0.002,0,cluster_4,GBP2
0,7.78166102557478,0.488,0.004,0,cluster_4,RAB28
0,7.76713964334455,0.662,0.009,0,cluster_4,C7orf31
0,7.75975352644966,0.452,0.005,0,cluster_4,CD1E
0,7.75336308800267,0.424,0.002,0,cluster_4,H4C16
0,7.74201141482461,0.441,0.003,0,cluster_4,KL
0,7.74003134769101,0.285,0.003,0,cluster_4,MOB3C
0,7.73473923863943,0.835,0.036,0,cluster_4,SNAPC3
0,7.725559717407,0.314,0.002,0,cluster_4,GPR150
0,7.72326375952845,0.601,0.008,0,cluster_4,LHFPL5
0,7.71907073937461,0.547,0.006,0,cluster_4,TSTD2
0,7.71819404304589,0.716,0.015,0,cluster_4,TMUB2
0,7.71579372813395,0.635,0.013,0,cluster_4,GPBP1L1
0,7.69872289747776,0.279,0.001,0,cluster_4,MUSTN1
0,7.69321007550683,0.544,0.005,0,cluster_4,DNAH9
0,7.68648103985581,0.329,0.003,0,cluster_4,GPR52
0,7.67963589757029,0.596,0.006,0,cluster_4,LINC00467
0,7.67762009403143,0.42,0.005,0,cluster_4,PWWP2A
0,7.65738082914967,0.621,0.008,0,cluster_4,MALRD1
0,7.64533942766936,0.304,0.003,0,cluster_4,TRMT61A-DT
0,7.64235776168787,0.452,0.005,0,cluster_4,DLEC1
0,7.641383536453,0.413,0.006,0,cluster_4,CAMK2N2
0,7.63177956059088,0.557,0.004,0,cluster_4,OTUD1
0,7.62074298727806,0.449,0.003,0,cluster_4,NMUR1
0,7.62041743212198,0.568,0.007,0,cluster_4,MYADM
0,7.61626097937175,0.46,0.003,0,cluster_4,TCERG1L-AS1
0,7.61334692848288,0.731,0.014,0,cluster_4,C12orf29
0,7.60817579747106,0.35,0.002,0,cluster_4,NFIA
0,7.60296705032989,0.468,0.005,0,cluster_4,ZNF30
0,7.59829575133421,0.504,0.004,0,cluster_4,ACTBL2
0,7.57637112532042,0.366,0.005,0,cluster_4,HECW2
0,7.57587627571917,0.621,0.011,0,cluster_4,MCRIP2
0,7.53644155522162,0.739,0.017,0,cluster_4,LINC02449
0,7.53003914273792,0.643,0.012,0,cluster_4,PRKRIP1
0,7.52482723410273,0.41,0.003,0,cluster_4,TMEM35B
0,7.51837429097929,0.455,0.004,0,cluster_4,TMEM254
0,7.51523118699735,0.605,0.007,0,cluster_4,LINC01698
0,7.5142345781147,0.535,0.007,0,cluster_4,CCDC73
0,7.50459917679197,0.294,0.003,0,cluster_4,EN1
0,7.45523034138062,0.727,0.014,0,cluster_4,NADK2
0,7.44307034891121,0.273,0.001,0,cluster_4,ZNF77
0,7.43848954690816,0.71,0.016,0,cluster_4,ZMYND10
0,7.43768645025406,0.463,0.005,0,cluster_4,TEKT2
0,7.43764671466842,0.506,0.005,0,cluster_4,LINC01280
0,7.43240559275332,0.469,0.004,0,cluster_4,OR5AU1
0,7.41450051785895,0.436,0.004,0,cluster_4,SPEF1
0,7.40849550241606,0.327,0.002,0,cluster_4,SNAP25-AS1
0,7.39963103839572,0.623,0.011,0,cluster_4,SEC14L1
0,7.37874229408539,0.587,0.006,0,cluster_4,HID1
0,7.37105201265083,0.587,0.009,0,cluster_4,COPS9
0,7.36938949062485,0.653,0.01,0,cluster_4,CLXN
0,10.332559527613,0.389,0.004,0,cluster_3,SMG8
0,9.89884349765581,0.255,0.002,0,cluster_3,CCL3
0,9.4445369283352,0.517,0.015,0,cluster_3,GPN2
0,8.93734373962718,0.889,0.025,0,cluster_3,NIPSNAP1
0,8.75705431757002,0.44,0.005,0,cluster_3,SLC9B1
0,8.666259800367,0.521,0.005,0,cluster_3,LRRC3B
0,8.62506472763028,0.672,0.007,0,cluster_3,SYNE3
0,8.60541437217571,0.56,0.014,0,cluster_3,ANAPC16
0,8.48932261333928,0.269,0.004,0,cluster_3,SPATA42
0,8.3979501708923,0.616,0.009,0,cluster_3,MRM2
0,8.26967618020551,0.357,0.003,0,cluster_3,TIE1
0,8.26686985667567,0.359,0.004,0,cluster_3,ROBO3
0,8.04423759221508,0.353,0.003,0,cluster_3,LRRIQ3
0,7.99916413809829,0.265,0.003,0,cluster_3,RCL1
0,7.9811059026734,0.404,0.011,0,cluster_3,CCDC186
0,7.96328974993368,0.37,0.006,0,cluster_3,ATP5PF
0,7.953431443439,0.306,0.007,0,cluster_3,SLC6A4
0,7.89570394632162,0.848,0.042,0,cluster_3,AOC2
0,7.86055265352256,0.487,0.009,0,cluster_3,DYRK2
0,7.84865857518425,0.3,0.016,0,cluster_3,DYNLT2B
0,7.66761734141914,0.617,0.024,0,cluster_3,VWF
0,7.53901387889396,0.317,0.006,0,cluster_3,MZT2A
0,7.41547058644585,0.294,0.006,0,cluster_3,SLC35B3
0,7.36570651576,0.302,0.008,0,cluster_3,SLC6A20
0,7.33865335779191,0.497,0.011,0,cluster_3,RAC3
0,7.20281238376261,0.273,0.004,0,cluster_3,LINC02135
0,7.15806030931205,0.537,0.021,0,cluster_3,ZNF266
0,6.9893107116683,0.792,0.06,0,cluster_3,NADSYN1
0,6.86549750993638,0.372,0.015,0,cluster_3,CFAP221
0,6.84622918585499,0.655,0.037,0,cluster_3,CALCRL
0,6.8300643153504,0.424,0.009,0,cluster_3,MIR2117HG
0,6.80435954477147,0.411,0.023,0,cluster_3,AGER
0,6.6696496949868,0.333,0.01,0,cluster_3,PRCP
0,6.62604159063338,0.251,0.01,0,cluster_3,RAB2B
0,6.60828020524229,0.524,0.031,0,cluster_3,LINC02945
0,6.5640622396557,0.494,0.03,0,cluster_3,TIAM1
0,6.35083799565949,0.792,0.062,0,cluster_3,SEM1
0,6.3146685488939,0.34,0.008,0,cluster_3,FOXF1
0,6.30659967217336,0.45,0.013,0,cluster_3,HS6ST2
0,6.25732847692383,0.774,0.127,0,cluster_3,HYAL2
0,6.23182950853265,0.311,0.016,0,cluster_3,SLCO4A1
0,6.20415852929448,0.262,0.013,0,cluster_3,CUL5
0,6.19504421615388,0.29,0.014,0,cluster_3,GPER1
0,6.15818755214991,0.296,0.015,0,cluster_3,PRX
0,6.15716429836015,0.292,0.01,0,cluster_3,EMID1
0,6.02949469022409,0.404,0.035,0,cluster_3,DNAH1
0,5.8699930209042,0.477,0.043,0,cluster_3,ZNF22-AS1
2.04290664918935e-293,5.7961754579029,0.325,0.051,4.53852141183905e-293,cluster_3,EDN1
0,5.77938949283074,0.596,0.052,0,cluster_3,KIRREL3
0,5.64575295076759,0.268,0.013,0,cluster_3,TASL
0,5.63188800390498,0.268,0.015,0,cluster_3,HSFX1
0,5.528257965525,0.439,0.029,0,cluster_3,KREMEN2
0,5.52255435251495,0.335,0.021,0,cluster_3,FLT1
0,5.5055758348987,0.737,0.088,0,cluster_3,ISY1
0,5.47514993604703,0.473,0.061,0,cluster_3,IRF2
0,5.45512932963594,0.515,0.074,0,cluster_3,GPR84
