p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.11036559659366,0.592,0.027,0,cluster_3,PRKAA2
0,5.07840898704919,0.545,0.024,0,cluster_3,MAOB
0,4.91291610538796,0.579,0.029,0,cluster_3,PAX8
0,4.90419459697152,0.598,0.031,0,cluster_3,CHDH
0,4.901785810751,0.628,0.031,0,cluster_3,USH1C
0,4.89541027211554,0.657,0.035,0,cluster_3,PHYHIPL
1.61475587489517e-293,4.89191439751189,0.518,0.024,5.8672154714316e-294,cluster_3,SMIM32
0,4.88667489253639,0.575,0.033,0,cluster_3,GPD1
0,4.87394148204101,0.731,0.048,0,cluster_3,NFIB
0,4.86860364293334,0.793,0.06,0,cluster_3,BICC1
0,4.86514977430498,0.909,0.1,0,cluster_3,KRT8
0,4.86396232616922,0.634,0.038,0,cluster_3,TINAG
7.576505810297158e-284,5.2326368121547,0.487,0.027,2.7529233861714693e-279,cluster_3,AKR1C1
1.4422560432892695e-285,5.19324191333062,0.479,0.016,5.240437333291579e-281,cluster_3,HOGA1
0,4.84562580638795,0.91,0.381,0,cluster_3,ALDOB
0,4.83192903211867,0.98,0.259,0,cluster_3,PDZK1IP1
0,4.83036819588232,0.606,0.034,0,cluster_3,ADAMTS9-AS1
0,4.82979239060728,0.831,0.161,0,cluster_3,MT1G
0,4.82639545130637,0.771,0.069,0,cluster_3,TMEM176A
0,4.82353136378736,0.995,0.634,0,cluster_3,CRYAB
3.62235354373719e-293,4.92130937883871,0.502,0.023,1.31618216011691e-293,cluster_3,SLC16A12
0,4.81885266601386,0.694,0.064,0,cluster_3,PAH
0,4.78671562531809,0.665,0.056,0,cluster_3,GSTA1
0,4.78492043527963,0.925,0.105,0,cluster_3,GLYAT
0,4.78429260149237,0.788,0.084,0,cluster_3,BHMT
0,4.77687268730843,0.607,0.034,0,cluster_3,TSPAN12
0,4.77596278981073,0.735,0.051,0,cluster_3,AIF1L
1.17574778003425e-293,4.77483280832077,0.548,0.05,4.27207955875444e-293,cluster_3,MT1H
0,4.76798011354712,0.902,0.091,0,cluster_3,BHMT2
0,4.75689774084817,0.651,0.046,0,cluster_3,SLC13A1
0,4.74052740093611,0.72,0.059,0,cluster_3,SMIM24
0,4.74046499373901,0.655,0.043,0,cluster_3,NPR3
0,4.73200365874437,0.613,0.035,0,cluster_3,EMX2OS
0,4.73078694980661,0.851,0.083,0,cluster_3,CA2
1.94679646288079e-293,4.83794916633961,0.505,0.027,7.07368494787735e-293,cluster_3,NOX4
0,4.72212276570332,0.57,0.037,0,cluster_3,KCNJ16
0,4.72131158017912,0.963,0.188,0,cluster_3,ALDH1A1
0,4.72100901860113,0.78,0.057,0,cluster_3,AP1M2
0,4.71217618086429,0.842,0.079,0,cluster_3,GBA3
0,4.70664258879115,0.591,0.034,0,cluster_3,NR2F2
0,4.69804494192038,0.632,0.038,0,cluster_3,CTTN
0,4.69112519587524,0.916,0.156,0,cluster_3,S100A1
0,4.69092291573417,0.921,0.125,0,cluster_3,AK4
0,4.69014194945848,0.793,0.071,0,cluster_3,MAOA
0,4.68892379030292,0.708,0.049,0,cluster_3,TCEAL9
0,4.6854631382378,0.934,0.12,0,cluster_3,UGT2B7
0,4.67783800705411,0.85,0.087,0,cluster_3,PTGR1
0,4.67507130550391,0.584,0.034,0,cluster_3,EMX2
0,4.67436889144287,0.791,0.087,0,cluster_3,NAT8
0,4.66918048457382,0.672,0.042,0,cluster_3,PTH1R
0,4.66772910142139,0.793,0.069,0,cluster_3,WDR72
6.4624825298462e-294,4.66697762321378,0.526,0.03,2.34814302721962e-293,cluster_3,RERG
0,4.66603373166186,0.929,0.118,0,cluster_3,ASS1
0,4.66383934544677,0.979,0.205,0,cluster_3,FXYD2
0,4.65684354550612,0.665,0.063,0,cluster_3,TSPAN1
0,4.64592706839154,0.869,0.101,0,cluster_3,KRT18
0,4.64560049757551,0.916,0.141,0,cluster_3,CXCL14
0,4.64112189454059,0.716,0.063,0,cluster_3,FABP3
0,4.6295141411518,0.718,0.051,0,cluster_3,ALDH1L1
1.16457040953331e-291,4.62538091182541,0.525,0.034,4.2314665830392904e-291,cluster_3,EPCAM
0,4.62331921406363,0.936,0.192,0,cluster_3,MGST1
0,4.62191708029788,0.587,0.036,0,cluster_3,ALKAL2
0,4.60260343230494,0.637,0.045,0,cluster_3,SLC6A13
0,4.59972850884994,0.555,0.034,0,cluster_3,AOX1
0,4.59430720706999,0.542,0.029,0,cluster_3,NR1H4
0,4.59076655108094,0.812,0.175,0,cluster_3,PCK1
2.73978873402078e-293,4.60402627358894,0.518,0.034,9.95502236506449e-293,cluster_3,SLC22A2
0,4.56744875102587,0.563,0.038,0,cluster_3,ITGB8
0,4.56465441546673,0.639,0.042,0,cluster_3,TEAD1
0,4.56330530909552,0.64,0.044,0,cluster_3,RGN
0,4.55574501673597,0.875,0.122,0,cluster_3,BBOX1
0,4.55132174562537,0.798,0.083,0,cluster_3,RNF152
3.0196934619696e-294,4.54995398127225,0.532,0.038,1.09720561940665e-293,cluster_3,CSRP2
0,4.54811100948554,0.733,0.061,0,cluster_3,CLTRN
0,4.54764629234565,0.662,0.081,0,cluster_3,PCP4
0,4.5388598620299,0.913,0.123,0,cluster_3,CMBL
0,4.53729563922921,0.802,0.065,0,cluster_3,GNG12
0,4.53361047827105,0.676,0.058,0,cluster_3,ALDH4A1
0,4.52831804346247,0.564,0.037,0,cluster_3,USP2
0,4.5276421480777,0.567,0.046,0,cluster_3,SLC16A9
0,4.52615077767769,0.552,0.047,0,cluster_3,LINC01874
0,4.52328609071107,0.628,0.045,0,cluster_3,PPP1R1A
0,4.51932907221881,0.949,0.188,0,cluster_3,GATM
0,4.51264987114212,0.635,0.058,0,cluster_3,HPD
0,4.50998356078985,0.749,0.062,0,cluster_3,DPYS
0,4.50779637630794,0.621,0.042,0,cluster_3,ETNK2
0,4.50569881546156,0.889,0.11,0,cluster_3,S100A13
0,4.49893422053266,0.688,0.052,0,cluster_3,ALDH1B1
0,4.49595921980993,0.661,0.049,0,cluster_3,UGT2A3
7.01765492206947e-293,4.49279783343316,0.528,0.033,2.54986491593394e-293,cluster_3,TCEA3
0,4.49225552593233,0.733,0.058,0,cluster_3,ALDH8A1
0,4.49082400052106,0.983,0.309,0,cluster_3,C11orf54
0,4.4882411394586,0.741,0.07,0,cluster_3,FMO1
0,4.47973685249912,0.6,0.054,0,cluster_3,CKB
0,4.46211074198452,0.824,0.073,0,cluster_3,CNN3
0,4.45627493520702,0.707,0.07,0,cluster_3,TMEM176B
0,4.44854092101752,0.552,0.041,0,cluster_3,LINC02532
0,4.44630277816853,0.859,0.094,0,cluster_3,PDZK1
8.726104353293609e-287,4.73157311008808,0.495,0.027,3.17063001676923e-282,cluster_3,PTH2R
0,4.43770744579001,0.782,0.081,0,cluster_3,PPP1R16A
0,8.50203662374141,0.295,0.008,0,cluster_1,IGKC
0,6.6606920182749,0.361,0.007,0,cluster_1,CD79A
0,6.54429253295805,0.408,0.01,0,cluster_1,MS4A1
0,6.35647604235993,0.365,0.009,0,cluster_1,TNFRSF13C
0,6.11989933676241,0.269,0.007,0,cluster_1,P2RX5
0,5.9505627755853,0.391,0.015,0,cluster_1,CD79B
0,5.72848265898078,0.257,0.01,0,cluster_1,CD27
0,5.56877548454215,0.302,0.011,0,cluster_1,CD22
0,5.55688415438386,0.25,0.008,0,cluster_1,POU2AF1
0,5.52902803970289,0.306,0.013,0,cluster_1,LINC00926
0,5.46677947764384,0.304,0.013,0,cluster_1,AIM2
0,5.45965432009011,0.857,0.045,0,cluster_1,CD52
0,5.44433673349475,0.383,0.013,0,cluster_1,BLK
0,5.39618776547141,0.502,0.02,0,cluster_1,TRBC2
0,5.27432306774683,0.39,0.034,0,cluster_1,TRAC
0,5.26696174645208,0.929,0.071,0,cluster_1,CXCR4
0,5.21475210797649,0.288,0.013,0,cluster_1,STAP1
0,5.21076517865719,0.405,0.051,0,cluster_1,BANK1
0,5.16326110538219,0.34,0.015,0,cluster_1,PAX5
0,5.16151382358136,0.512,0.043,0,cluster_1,LTB
0,5.15968506600982,0.354,0.011,0,cluster_1,FCRL1
0,5.14211522241009,0.427,0.022,0,cluster_1,CD3D
0,5.06404287062382,0.382,0.021,0,cluster_1,CD3G
3.3209383246314e-294,5.03376959545586,0.291,0.026,1.20666294025482e-293,cluster_1,IFITM1
0,4.9877447338307,0.335,0.022,0,cluster_1,DUSP2
0,4.96971321189804,0.382,0.02,0,cluster_1,TRBC1
0,4.95977355045061,0.327,0.032,0,cluster_1,BCL11A
0,4.95825171619643,0.367,0.019,0,cluster_1,IL2RG
0,4.95536985771977,0.645,0.045,0,cluster_1,FCMR
0,4.87667770625668,0.36,0.025,0,cluster_1,SELL
