p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.88085749002613,0.967,0.02,0,cluster_2,S100A8
0,6.74116761196689,0.978,0.028,0,cluster_2,S100A9
0,7.41861533987487,0.75,0.01,0,cluster_2,FCN1
0,6.0233010538397,0.941,0.053,0,cluster_2,CST3
0,5.8932785557495,0.885,0.027,0,cluster_2,LYZ
0,7.19572395658236,0.626,0.013,0,cluster_2,CFD
0,5.79430670889536,0.745,0.051,0,cluster_2,TYMP
0,7.36079741450621,0.531,0.008,0,cluster_2,CD14
0,7.33911062038814,0.503,0.007,0,cluster_2,TMEM176B
0,4.21314538075484,0.976,0.13,0,cluster_2,TYROBP
0,6.94684570733889,0.46,0.008,0,cluster_2,LGALS2
0,4.37086500547649,0.799,0.125,0,cluster_2,LST1
0,3.96433968737131,0.874,0.183,0,cluster_2,AIF1
0,7.20702320340672,0.377,0.006,0,cluster_2,SERPINA1
0,5.10017186201092,0.537,0.042,0,cluster_2,CEBPD
0,4.03517989998521,0.771,0.173,0,cluster_2,PSAP
0,6.70924221845153,0.351,0.008,0,cluster_2,MS4A6A
0,3.17176016364292,0.933,0.237,0,cluster_2,HLA-DRB1
0,3.38302156612363,0.801,0.184,0,cluster_2,LGALS1
0,6.81171940793243,0.313,0.007,0,cluster_2,IFI30
0,5.19783789932358,0.432,0.032,0,cluster_2,CFP
0,6.9199483591328,0.307,0.007,0,cluster_2,IGSF6
0,3.38623856818109,0.895,0.321,0,cluster_2,GPX1
0,3.14864881660198,0.803,0.194,0,cluster_2,HLA-DRB5
0,3.80655681098686,0.588,0.115,0,cluster_2,GABARAP
0,3.07907325956348,0.712,0.128,0,cluster_2,FCER1G
0,4.79189600324059,0.42,0.052,0,cluster_2,BLVRB
0,4.64868337469669,0.42,0.051,0,cluster_2,GRN
0,3.71274902621789,0.593,0.141,0,cluster_2,NEAT1
0,3.25157074818413,0.709,0.241,0,cluster_2,SAT1
0,4.10720673394049,0.428,0.071,0,cluster_2,FOSB
0,3.39946135426109,0.624,0.196,0,cluster_2,PYCARD
0,3.13213371356552,0.822,0.364,0,cluster_2,TSPO
0,4.3593351609945,0.385,0.056,0,cluster_2,SPI1
0,3.73609211644801,0.479,0.098,0,cluster_2,FCGRT
0,3.66369763313568,0.462,0.106,0,cluster_2,JUND
0,2.82661912108049,0.814,0.367,0,cluster_2,GSTP1
0,3.03929008637099,0.579,0.17,0,cluster_2,S100A11
0,2.7573521144956,0.996,0.603,0,cluster_2,S100A4
0,2.94848558638564,0.492,0.171,0,cluster_2,CTSS
0,2.98384958660463,0.476,0.166,0,cluster_2,NPC2
0,3.46638610769277,0.309,0.05,0,cluster_2,LGALS3
0,2.55645634706702,0.968,0.625,0,cluster_2,S100A6
0,2.84941037970908,0.428,0.128,0,cluster_2,HLA-DMA
0,2.00611207475579,0.655,0.243,0,cluster_2,HLA-DPB1
0,1.58601095343673,0.728,0.21,0,cluster_2,HLA-DRA
0,2.56514276130453,0.445,0.139,0,cluster_2,HLA-DQB1
0,2.90169515494596,0.395,0.127,0,cluster_2,MCL1
0,2.33569372297858,0.615,0.302,0,cluster_2,KLF6
0,2.65426229957138,0.476,0.21,0,cluster_2,ATP6V0B
0,2.56338880713076,0.397,0.138,0,cluster_2,ANXA2
1.98446444597598e-293,3.01478519881835,0.324,0.107,6.10778467182486e-293,cluster_2,STXBP2
0,2.5171306675129,0.468,0.219,0,cluster_2,AP2S1
0,3.0393305205402,0.259,0.059,0,cluster_2,LY86
0,3.1908182587229,0.251,0.063,0,cluster_2,AGTRAP
0,2.29939197196943,0.532,0.277,0,cluster_2,RAC1
7.71939080390758e-293,2.50385161352732,0.421,0.182,2.3758741016266795e-291,cluster_2,TIMP1
0,2.18572626015412,0.688,0.422,0,cluster_2,LAMTOR4
0,1.14870865805022,0.929,0.467,0,cluster_2,CD74
0,1.55445890210357,0.697,0.43,0,cluster_2,FOS
0,1.99716181482062,0.973,0.767,0,cluster_2,CYBA
5.3336735789546e-286,1.82407655102076,0.576,0.348,1.64159805413065e-281,cluster_2,COTL1
1.4934387132062991e-221,2.78954672641505,0.272,0.096,4.596505671506339e-217,cluster_2,CAPG
1.21104072834265e-221,2.68263590789133,0.266,0.091,3.727341153693009e-217,cluster_2,MYO1F
3.03572660651015e-227,1.97672708248019,0.342,0.132,9.343359349516947e-223,cluster_2,HLA-DQA1
0,1.67888401411829,0.867,0.701,0,cluster_2,MYL6
8.223014776660468e-241,1.80125123998748,0.577,0.405,2.530879487960559e-236,cluster_2,VAMP8
2.9767391563559392e-167,1.82131616257112,0.468,0.296,9.161807775432318e-163,cluster_2,CRIP1
1.1201654723255399e-152,1.93542816632127,0.43,0.277,3.44764529072354e-148,cluster_2,PRELID1
