p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,9.00137699253038,0.735,0.011,0,cluster_1,S100A12
0,8.68142938466647,0.272,0.001,0,cluster_1,CDA
0,8.63265160813213,0.85,0.048,0,cluster_1,S100A8
0,8.62174391312718,0.26,0.001,0,cluster_1,RBP7
0,8.23923116140659,0.896,0.063,0,cluster_1,S100A9
0,7.91758271522744,0.426,0.004,0,cluster_1,CD14
0,7.62175475060567,0.494,0.007,0,cluster_1,SERPINA1
0,7.4288043347518,0.321,0.007,0,cluster_1,RETN
0,7.42273513148144,0.602,0.008,0,cluster_1,VCAN
0,7.34635188511832,0.471,0.016,0,cluster_1,G0S2
0,7.31044346007324,0.404,0.007,0,cluster_1,CXCL8
0,7.25213813265612,0.257,0.003,0,cluster_1,MAFB
0,7.19935010696756,0.478,0.008,0,cluster_1,CLEC7A
0,7.12353377161387,0.829,0.013,0,cluster_1,CSTA
0,6.97299598709205,0.257,0.005,0,cluster_1,THBS1
0,6.58684926497657,0.985,0.061,0,cluster_1,LYZ
0,6.30859235759112,0.802,0.037,0,cluster_1,FCN1
0,6.24532216601091,0.512,0.013,0,cluster_1,MNDA
0,6.15877769640006,0.329,0.008,0,cluster_1,LGALS2
0,6.15265724331354,0.644,0.022,0,cluster_1,CFD
0,6.03370505380146,0.464,0.017,0,cluster_1,PLAUR
0,5.93751166830326,0.458,0.011,0,cluster_1,MS4A6A
0,5.72950690942455,0.304,0.015,0,cluster_1,CSF3R
0,5.72132001490775,0.753,0.038,0,cluster_1,IFI30
0,5.62732537645353,0.371,0.021,0,cluster_1,CD302
0,5.4820550517635,0.256,0.013,0,cluster_1,SLC11A1
0,5.38269812646385,0.328,0.023,0,cluster_1,MGST1
0,5.20570461876846,0.359,0.016,0,cluster_1,KLF4
0,5.1405695903761,0.346,0.024,0,cluster_1,TNFSF13B
0,5.01288759620222,0.411,0.025,0,cluster_1,CD68
0,4.93455315177774,0.253,0.016,0,cluster_1,C19orf38
0,4.90071920844712,0.536,0.073,0,cluster_1,LST1
0,4.78184859317772,0.666,0.067,0,cluster_1,TYMP
0,4.7658606682485,0.96,0.137,0,cluster_1,LGALS1
0,4.7069349991914,0.939,0.076,0,cluster_1,CST3
0,4.58959006844143,0.962,0.102,0,cluster_1,TYROBP
0,4.5677327745182,0.597,0.05,0,cluster_1,SPI1
0,4.50239509179848,0.307,0.022,0,cluster_1,CYBB
0,4.47548969692257,0.459,0.04,0,cluster_1,CFP
0,4.45852896476819,0.349,0.025,0,cluster_1,STX11
0,4.44097278352302,0.848,0.194,0,cluster_1,NAMPT
0,4.40076108419214,0.314,0.019,0,cluster_1,CEBPD
0,4.28924606722915,0.676,0.087,0,cluster_1,S100A11
0,4.11504760401801,0.672,0.123,0,cluster_1,STXBP2
0,4.10925162315475,0.346,0.038,0,cluster_1,LGALS3
0,4.09159407425011,0.803,0.25,0,cluster_1,AIF1
0,4.00028969834841,0.668,0.129,0,cluster_1,TIMP1
0,3.87805287713189,0.345,0.054,0,cluster_1,PLSCR1
0,3.87248652810666,0.295,0.045,0,cluster_1,SCO2
0,3.83113516412797,0.413,0.057,0,cluster_1,GRN
0,3.75530889021355,0.308,0.04,0,cluster_1,LY96
0,3.74894399088834,0.811,0.088,0,cluster_1,FCER1G
0,3.70903225533174,0.819,0.217,0,cluster_1,CTSS
0,3.70443728469082,0.376,0.039,0,cluster_1,FOSL2
0,3.69594899940578,0.35,0.049,0,cluster_1,BCL2A1
0,3.63450466636662,0.377,0.058,0,cluster_1,RNF130
0,3.52660798521755,0.339,0.067,0,cluster_1,IFITM3
0,3.45468809898606,0.986,0.525,0,cluster_1,S100A6
0,3.44884834088099,0.563,0.101,0,cluster_1,PYCARD
0,3.42251318253815,0.3,0.04,0,cluster_1,CD36
0,3.33555928719434,0.88,0.255,0,cluster_1,GPX1
0,3.31028545126806,0.791,0.232,0,cluster_1,PSAP
0,3.29923078216025,0.833,0.248,0,cluster_1,TSPO
0,3.28404361586379,0.568,0.127,0,cluster_1,ASAH1
0,3.27318316511691,0.896,0.424,0,cluster_1,SAT1
0,3.2414924773041,0.297,0.069,0,cluster_1,PGD
0,3.21716329905191,0.534,0.118,0,cluster_1,CEBPB
0,3.21466465756952,0.365,0.07,0,cluster_1,BRI3
0,3.20297689580616,0.461,0.093,0,cluster_1,C4orf48
0,3.18645883846545,0.574,0.142,0,cluster_1,AP1S2
0,3.11692236899258,0.973,0.411,0,cluster_1,SRGN
0,3.11209650774673,0.287,0.035,0,cluster_1,FGR
0,3.07962742325844,0.25,0.052,0,cluster_1,UBE2D1
0,3.07370358174109,0.962,0.424,0,cluster_1,S100A4
0,3.00413379296301,0.302,0.048,0,cluster_1,RNASE6
0,2.98866900591425,0.317,0.069,0,cluster_1,AGTRAP
0,2.90582543753631,0.475,0.109,0,cluster_1,APLP2
0,2.90072579045364,0.329,0.086,0,cluster_1,GLUL
0,2.80494080121747,0.393,0.088,0,cluster_1,ANXA5
0,2.80067651507065,0.382,0.09,0,cluster_1,UPP1
0,2.78835301583043,0.496,0.097,0,cluster_1,ANXA2
0,2.77794411125204,0.387,0.102,0,cluster_1,NINJ1
0,2.77491450923884,0.669,0.197,0,cluster_1,NPC2
0,2.76415475300639,0.33,0.075,0,cluster_1,CAPG
0,2.75766734835254,0.503,0.14,0,cluster_1,FCGRT
0,2.71788546589468,0.361,0.102,0,cluster_1,KLF10
0,2.69827126048169,0.821,0.28,0,cluster_1,GSTP1
0,2.67361156171856,0.62,0.17,0,cluster_1,CD63
0,2.67192696136388,0.528,0.164,0,cluster_1,CTSD
0,2.66597196813135,0.926,0.487,0,cluster_1,GABARAP
0,2.62833227755615,0.277,0.072,0,cluster_1,CHP1
0,2.60822418104482,0.272,0.058,0,cluster_1,PTPRE
0,2.57824459791649,0.312,0.102,0,cluster_1,JARID2
0,2.55303203066012,0.255,0.056,0,cluster_1,TNFRSF1B
0,2.54403929748522,0.276,0.062,0,cluster_1,CTSH
0,2.53545221219976,0.315,0.09,0,cluster_1,RILPL2
0,2.51965434487752,0.337,0.101,0,cluster_1,CARD19
0,2.51361955981081,0.814,0.374,0,cluster_1,FOS
0,2.49602116810295,0.281,0.092,0,cluster_1,BID
0,2.48484211679411,0.546,0.175,0,cluster_1,VSIR
