Query_ID,cell_type,final_score,rank,top_evidence_genes,rescue_status
cluster_1,monocyte,0.95,1,"S100A12, CDA, S100A8, RBP7, S100A9, CD14, SERPINA1, RETN, VCAN, G0S2, CXCL8, MAFB, CLEC7A, CSTA, THBS1",Rescued_by_V1
cluster_1,classical monocyte,0.95,2,"S100A12, CDA, S100A8, RBP7, S100A9, CD14, SERPINA1, VCAN, G0S2, CXCL8, MAFB, CLEC7A, CSTA, THBS1, LYZ",Rescued_by_V1
cluster_1,mononuclear phagocyte,0.85,3,"S100A12, S100A8, S100A9, CD14, SERPINA1, VCAN, G0S2, CXCL8, MAFB, CLEC7A, CSTA, THBS1, LYZ, FCN1, MNDA",Rescued_by_V1
cluster_1,dendritic cell,0.825,4,"S100A8, S100A9, CD14, SERPINA1, RETN, VCAN, G0S2, CXCL8, MAFB, CLEC7A, CSTA, THBS1, LYZ, FCN1, MNDA",Rescued_by_V1
cluster_1,neutrophil,0.825,5,"S100A12, CDA, S100A8, RBP7, S100A9, CD14, SERPINA1, RETN, VCAN, G0S2, CXCL8, CLEC7A, CSTA, THBS1, LYZ",Rescued_by_V1
cluster_1,Kupffer cell,0.75,6,"S100A12, S100A8, RBP7, S100A9, CD14, VCAN, CXCL8, MAFB, CLEC7A, CSTA, THBS1, LYZ, FCN1, MNDA, CFD",Rescued_by_V1
cluster_1,macrophage,0.725,7,"S100A12, S100A8, S100A9, CD14, SERPINA1, RETN, VCAN, CXCL8, MAFB, CLEC7A, CSTA, LYZ, FCN1, MNDA, CFD",Rescued_by_V1
cluster_1,myeloid cell,0.725,8,"S100A12, S100A8, S100A9, CD14, SERPINA1, VCAN, G0S2, CXCL8, MAFB, CLEC7A, CSTA, LYZ, FCN1, MNDA, CFD",Rescued_by_V1
cluster_1,"dendritic cell, human",0.65,9,"S100A12, S100A8, S100A9, CD14, SERPINA1, RETN, VCAN, MAFB, CLEC7A, CSTA, LYZ, FCN1, MNDA, CFD, CSF3R",Rescued_by_V1
cluster_1,CD14-positive monocyte,0.65,10,"S100A12, CDA, S100A8, RBP7, S100A9, CD14, SERPINA1, RETN, VCAN, MAFB, CLEC7A, CSTA, THBS1, LYZ, FCN1",Rescued_by_V1
cluster_1,microglial cell,0.6,11,"S100A8, S100A9, CD14, SERPINA1, VCAN, CXCL8, MAFB, CLEC7A, LYZ, MNDA, PLAUR, MS4A6A, CSF3R, IFI30, SLC11A1",Rescued_by_V1
cluster_1,progenitor cell,0.6,12,"S100A12, S100A8, S100A9, CD14, SERPINA1, VCAN, CXCL8, MAFB, CLEC7A, CSTA, LYZ, FCN1, MNDA, CFD, PLAUR",Rescued_by_V1
cluster_1,myeloid leukocyte,0.575,13,"S100A12, S100A8, S100A9, CD14, SERPINA1, CXCL8, MAFB, CLEC7A, LYZ, FCN1, MNDA, CFD, PLAUR, MS4A6A, IFI30",Rescued_by_V1
cluster_1,non-classical monocyte,0.55,14,"S100A8, S100A9, CD14, SERPINA1, MAFB, CLEC7A, LYZ, FCN1, CFD, IFI30, SLC11A1, KLF4, TNFSF13B, CD68, C19orf38",Rescued_by_V1
cluster_1,myeloid dendritic cell,0.525,15,"CD14, SERPINA1, MAFB, CLEC7A, LYZ, FCN1, MNDA, LGALS2, CFD, PLAUR, MS4A6A, IFI30, SLC11A1, KLF4, CD68",Rescued_by_V1
cluster_1,CD1c-positive myeloid dendritic cell,0.525,16,"S100A12, S100A8, S100A9, CD14, RETN, VCAN, CLEC7A, CSTA, LYZ, FCN1, MNDA, LGALS2, PLAUR, MS4A6A, CSF3R",Rescued_by_V1
cluster_1,phagocyte,0.5,17,"S100A12, S100A8, S100A9, CD14, SERPINA1, MAFB, CLEC7A, LYZ, FCN1, MNDA, MS4A6A, IFI30, CD68, LST1, TYMP",Rescued_by_V1
cluster_1,granulocyte,0.45,18,"S100A12, CDA, S100A8, S100A9, CD14, SERPINA1, RETN, G0S2, CXCL8, CLEC7A, CSTA, FCN1, MNDA, PLAUR, CSF3R",Rescued_by_V1
cluster_1,intermediate monocyte,0.45,19,"S100A12, S100A8, S100A9, CD14, SERPINA1, RETN, VCAN, CXCL8, MAFB, THBS1, LYZ, FCN1, MNDA, MS4A6A, SLC11A1",Rescued_by_V1
cluster_1,regulatory T cell,0.45,20,"S100A8, S100A9, VCAN, CXCL8, MAFB, CLEC7A, LYZ, FCN1, MNDA, PLAUR, MS4A6A, SLC11A1, KLF4, LST1, LGALS1",Rescued_by_V1
cluster_1,perivascular macrophage,0.4,21,"S100A8, RBP7, S100A9, CD14, VCAN, G0S2, MAFB, CFD, PLAUR, CSF3R, SLC11A1, KLF4, LGALS1, CST3, CYBB",Rescued_by_V1
cluster_1,precursor cell,0.35,22,"S100A12, S100A8, S100A9, VCAN, CXCL8, MAFB, CLEC7A, CSTA, LYZ, FCN1, MNDA, PLAUR, LST1, CFP",Rescued_by_V1
cluster_1,"CD14-low, CD16-positive monocyte",0.325,23,"CD14, SERPINA1, MAFB, LYZ, FCN1, MNDA, CFD, CSF3R, CD68, LST1, TYMP, CST3, CYBB",Rescued_by_V1
cluster_1,conventional dendritic cell,0.325,24,"S100A12, CD14, CXCL8, CLEC7A, CSTA, LYZ, FCN1, LGALS2, MS4A6A, IFI30, LST1, CST3, TYROBP, SPI1, CFP",Rescued_by_V1
cluster_1,promonocyte,0.325,25,"S100A12, S100A8, S100A9, RETN, VCAN, CSTA, LYZ, FCN1, MNDA, LST1, LGALS1, CST3, CFP",Rescued_by_V1
cluster_1,"CD14-positive, CD16-positive monocyte",0.3,26,"S100A12, CD14, SERPINA1, LYZ, FCN1, CFD, CD68, LST1, TYMP, CST3, TYROBP, SPI1",Rescued_by_V1
cluster_1,myeloid lineage restricted progenitor cell,0.3,27,"S100A12, S100A8, S100A9, SERPINA1, RETN, CSTA, LYZ, FCN1, MNDA, CSF3R, KLF4, SPI1",Rescued_by_V1
cluster_1,inflammatory macrophage,0.275,28,"S100A8, VCAN, CLEC7A, CSTA, THBS1, LYZ, FCN1, MS4A6A, SLC11A1, CD68, CST3",Rescued_by_V1
cluster_1,professional antigen presenting cell,0.275,29,"CD14, MAFB, LYZ, LGALS2, MS4A6A, SLC11A1, CD68, CST3, TYROBP, CYBB, CFP",Rescued_by_V1
cluster_1,blood cell,0.275,30,"S100A12, S100A8, S100A9, SERPINA1, RETN, CXCL8, FCN1, MNDA, PLAUR, CSF3R, SLC11A1",Rescued_by_V1
