dataset	cluster_id	reviewer	raw_label	gt_status	gt_cl_id	gt_component_cl_ids	notes
Census_immune	cluster_1	cassia	Monocyte (myeloid lineage)	single_identity	CL:0000576	NA	NA
Census_immune	cluster_10	cassia	T lymphocytes / T cells	single_identity	CL:0000084	NA	NA
Census_immune	cluster_11	cassia	T lymphocyte (αβ T cell)	single_identity	CL:0000084	NA	NA
Census_immune	cluster_12	cassia	Natural killer (NK) cell	single_identity	CL:0000623	NA	NA
Census_immune	cluster_13	cassia	Plasma cells / plasmablasts	single_identity	CL:0000786	NA	NA
Census_immune	cluster_14	cassia	Dendritic cell (DC), specifically plasmacytoid dendritic cell (pDC)	single_identity	CL:0000784		NA
Census_immune	cluster_15	cassia	B-lymphoid lineage cells	single_identity	CL:0000236	NA	NA
Census_immune	cluster_16	cassia	B-cell lineage, early B-cell precursor / immature B-lymphoid progenitor	single_identity	CL:0000817	NA	NA
Census_immune	cluster_2	cassia	CD8+ naïve T cells	single_identity	CL:0000900	NA	NA
Census_immune	cluster_3	cassia	Hematopoietic stem/progenitor cells (HSPCs) — CD34+ primitive hematopoietic stem/progenitor cell cluster	single_identity	CL:0008001	NA	NA
Census_immune	cluster_4	cassia	Dendritic cell (DC)	single_identity	CL:0000451	NA	NA
Census_immune	cluster_5	cassia	γδ T cell	single_identity	CL:0000798	NA	NA
Census_immune	cluster_6	cassia	Erythroid lineage cell	single_identity	CL:0000764	NA	NA
Census_immune	cluster_7	cassia	Platelets (megakaryocyte/platelet lineage; circulating blood platelets)	single_identity	CL:0000233	NA	NA
Census_immune	cluster_8	cassia	Mesenchymal stromal cell (MSC) / fibroblast-like non-hematopoietic cell	single_identity	CL:0000134	NA	NA
Census_immune	cluster_9	cassia	B cell / B lymphocyte	single_identity	CL:0000236	NA	NA
Census_immune	cluster_1	in_house	monocyte	single_identity	CL:0000576	NA	NA
Census_immune	cluster_10	in_house	T cell	single_identity	CL:0000084	NA	NA
Census_immune	cluster_11	in_house	T cell	single_identity	CL:0000084	NA	NA
Census_immune	cluster_12	in_house	natural killer cell	single_identity	CL:0000623	NA	NA
Census_immune	cluster_13	in_house	lymphocyte of B lineage	single_identity	CL:0000236	NA	NA
Census_immune	cluster_14	in_house	dendritic cell	single_identity	CL:0000451	NA	NA
Census_immune	cluster_15	in_house	B cell	single_identity	CL:0000236	NA	NA
Census_immune	cluster_16	in_house	B cell	single_identity	CL:0000236	NA	NA
Census_immune	cluster_2	in_house	T cell	single_identity	CL:0000084	NA	NA
Census_immune	cluster_3	in_house	hematopoietic precursor cell	single_identity	CL:0008001	NA	NA
Census_immune	cluster_4	in_house	dendritic cell	single_identity	CL:0000451	NA	NA
Census_immune	cluster_5	in_house	T cell	single_identity	CL:0000084	NA	NA
Census_immune	cluster_6	in_house	erythroid lineage cell	single_identity	CL:0000764	NA	NA
Census_immune	cluster_7	in_house	megakaryocyte	single_identity	CL:0000556	NA	NA
Census_immune	cluster_8	in_house	immune cell	single_identity	CL:0000988	NA	NA
Census_immune	cluster_9	in_house	B cell	single_identity	CL:0000236	NA	NA
Census_immune	cluster_1	enrichment	classical monocyte	single_identity	CL:0000860	NA	NA
Census_immune	cluster_10	enrichment	Naive/Quiescent CD4+ T cell (progenitor-like)	single_identity	CL:0000895	NA	NA
Census_immune	cluster_11	enrichment	stem cell memory CD8-positive, alpha-beta T cell	single_identity	CL:0000907	NA	NA
Census_immune	cluster_12	enrichment	natural killer cell	single_identity	CL:0000623	NA	NA
Census_immune	cluster_13	enrichment	plasma cell	single_identity	CL:0000786	NA	NA
Census_immune	cluster_14	enrichment	plasmacytoid dendritic cell	single_identity	CL:0000784	NA	NA
