p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.34400026073422,0.33,0.025,0,cluster_7,CLUHP11
0,4.80713822814514,0.334,0.061,0,cluster_7,CTNNA2
0,4.55894360586623,0.981,0.323,0,cluster_7,TMEM167B
0,4.53472264704137,0.694,0.059,0,cluster_7,SLC22A9
0,4.51375042411005,0.985,0.399,0,cluster_7,MIR5585
0,4.51279425926558,0.556,0.076,0,cluster_7,CA12
0,4.49520507862995,1,0.887,0,cluster_7,LIPT2
0,4.36829198139713,0.643,0.089,0,cluster_7,SDCBPP1
0,4.32864131783306,0.604,0.054,0,cluster_7,TSPAN2
0,4.2750461782739,0.284,0.02,0,cluster_7,ARSG
0,4.20467658472749,0.351,0.038,0,cluster_7,FAM167A
0,4.20069831444595,0.943,0.309,0,cluster_7,SEMG1
0,4.17822603461901,0.99,0.794,0,cluster_7,PIPOX
0,4.15406349187634,0.26,0.026,0,cluster_7,CPEB1-AS1
0,4.05952894276493,0.998,0.893,0,cluster_7,LZIC
0,4.03200623556594,0.36,0.042,0,cluster_7,OR4D5
0,3.99558466928549,0.975,0.284,0,cluster_7,PCGF3
0,3.99400979664789,0.95,0.48,0,cluster_7,PRSS3
0,3.98828598836783,0.837,0.116,0,cluster_7,RPL37P3
0,3.97870425121338,0.263,0.03,0,cluster_7,MIR6511A4
0,3.97767499258192,0.734,0.101,0,cluster_7,SKIL
0,3.96123260218651,0.972,0.22,0,cluster_7,PDCD10
0,3.95337056636348,0.811,0.155,0,cluster_7,TRHDE
0,3.9348862355192,0.282,0.026,0,cluster_7,ANAPC10
0,3.93331219995422,0.442,0.043,0,cluster_7,CCDC54
0,3.9290963520756,0.736,0.092,0,cluster_7,USP32
0,3.92058993225299,0.371,0.045,0,cluster_7,P2RY13
0,3.91874634618582,0.975,0.406,0,cluster_7,RPS27P26
0,3.86437693459245,0.885,0.142,0,cluster_7,AQP8
0,3.85778162161889,0.58,0.069,0,cluster_7,ANGPTL3
0,3.84682718024067,0.334,0.03,0,cluster_7,PELO-AS1
0,3.83062592956334,0.979,0.634,0,cluster_7,PADI3
0,3.82831956128556,0.998,0.715,0,cluster_7,PTRH1
0,3.81010323383857,0.272,0.03,0,cluster_7,TMED7
0,3.78970969510838,0.259,0.023,0,cluster_7,OR8B5P
0,3.77020568697117,0.783,0.103,0,cluster_7,DPEP1
0,3.76496314217482,0.959,0.402,0,cluster_7,MIR1302-2HG
0,3.75741921988122,0.905,0.268,0,cluster_7,DPEP3
0,3.73714103393903,0.844,0.154,0,cluster_7,LGALS2
0,3.71633985264413,0.267,0.027,0,cluster_7,ABHD14B
0,3.71391008661601,0.395,0.039,0,cluster_7,LINC01442
0,3.71146319902121,0.945,0.438,0,cluster_7,KLK4
0,3.6938444850384,0.426,0.045,0,cluster_7,EFCAB13
0,3.66030960026719,0.588,0.071,0,cluster_7,PKDCC
0,3.62715612246841,0.499,0.054,0,cluster_7,SLCO6A1
0,3.60174258514719,0.712,0.121,0,cluster_7,AMN
0,3.60098776328446,0.72,0.113,0,cluster_7,LIMS1
0,3.58201551273319,0.738,0.119,0,cluster_7,PAPSS1
0,3.56352237307249,0.845,0.144,0,cluster_7,RPS4XP6
0,3.52633357242308,0.583,0.073,0,cluster_7,ISCA1
0,3.45509952119425,0.653,0.155,0,cluster_7,ASXL2
0,3.45458640404676,0.627,0.078,0,cluster_7,ARR3
3.41953928971091e-293,3.46391423501518,0.272,0.051,1.01122615875331e-293,cluster_7,NLGN1
0,3.42084375336334,0.376,0.044,0,cluster_7,UBA2
0,3.4078040946343102,0.321,0.035,0,cluster_7,SLC2A13
0,3.39246427306093,0.999,0.855,0,cluster_7,NCF1
0,3.38272873534339,0.537,0.078,0,cluster_7,RBM22P7
0,3.38043385571202,0.592,0.074,0,cluster_7,NT5DC2
0,3.32127928340081,0.878,0.272,0,cluster_7,C3orf49
0,3.30328930871789,0.686,0.132,0,cluster_7,CLCF1
0,3.30326330965727,0.722,0.139,0,cluster_7,RRP9
0,3.28650486249953,0.599,0.086,0,cluster_7,VN1R6P
0,3.26328667527285,0.762,0.127,0,cluster_7,RNF182
0,3.24006060641978,0.658,0.097,0,cluster_7,ZNF593
0,3.22742501374229,0.463,0.068,0,cluster_7,THAP8
0,3.21441590810975,0.988,0.543,0,cluster_7,SYCE1
0,3.19749598786652,0.874,0.232,0,cluster_7,ETV6
0,3.18573323328001,0.252,0.033,0,cluster_7,KDM5C
0,3.17903447233813,0.27,0.035,0,cluster_7,ZNF92
