condition	dataset	full_triage_mean	delta_vs_full_triage	condition_mean
CellMarkerDB added	Census_immune	77.4143915463188	0.9251740045063477	78.33956555082514
CellMarkerDB added	Sikkema_lung	83.35714123091735	-5.762710295432621	77.59443093548472
CellMarkerDB added	TS_kidney	78.19382047153834	-2.1870674880233167	76.00675298351503
CellMarkerDB added	TS_pancreas	85.76095205454176	-5.212802072449836	80.54814998209193
CellMarkerDB added	Zheng_blood	74.77842189829198	5.452844837063043	80.23126673535502
CellMarkerDB added	Overall	79.97898835594782	-1.2077543264136303	78.77123402953418
CellMarkerDB added with reliability filtering	Census_immune	77.4143915463188	-0.3740469463406517	77.04034459997814
CellMarkerDB added with reliability filtering	Sikkema_lung	83.35714123091735	-3.508009125997497	79.84913210491985
CellMarkerDB added with reliability filtering	TS_kidney	78.19382047153834	7.108836339623021	85.30265681116137
CellMarkerDB added with reliability filtering	TS_pancreas	85.76095205454176	-1.3592020345983356	84.40175001994342
CellMarkerDB added with reliability filtering	Zheng_blood	74.77842189829198	4.260275429862785	79.03869732815477
CellMarkerDB added with reliability filtering	Overall	79.97898835594782	0.17225904707701814	80.15124740302484
